Dataset,Seed,Method,OS-HM
CICIoT2023 (7-category),42,MSP,0.4341
CICIoT2023 (7-category),43,MSP,0.0507
CICIoT2023 (7-category),44,MSP,0.4705
CICIoT2023 (7-category),45,MSP,0.2994
CICIoT2023 (7-category),46,MSP,0.3223
CICIoT2023 (7-category),47,MSP,0.1768
CICIoT2023 (7-category),48,MSP,0.0336
CICIoT2023 (7-category),49,MSP,0.1702
CICIoT2023 (7-category),50,MSP,0.2986
CICIoT2023 (7-category),51,MSP,0.4442
NSL-KDD,42,MSP,0.2801
NSL-KDD,43,MSP,0.3828
NSL-KDD,44,MSP,0.462
NSL-KDD,45,MSP,0.6156
NSL-KDD,46,MSP,0.2482
NSL-KDD,47,MSP,0.4615
NSL-KDD,48,MSP,0.5644
NSL-KDD,49,MSP,0.6837
NSL-KDD,50,MSP,0.5315
NSL-KDD,51,MSP,0.4699
5G-NIDD,42,NC-FSCIL,0.2866
5G-NIDD,43,NC-FSCIL,0.1756
5G-NIDD,44,NC-FSCIL,0.7991
5G-NIDD,45,NC-FSCIL,0.7592
5G-NIDD,46,NC-FSCIL,0.5261
5G-NIDD,47,NC-FSCIL,0.7513
5G-NIDD,48,NC-FSCIL,0.6468
5G-NIDD,49,NC-FSCIL,0.2193
5G-NIDD,50,NC-FSCIL,0.6317
5G-NIDD,51,NC-FSCIL,0.7621
ToN-IoT,42,NC-FSCIL,0.2131
ToN-IoT,43,NC-FSCIL,0.3082
ToN-IoT,44,NC-FSCIL,0.3859
ToN-IoT,45,NC-FSCIL,0.4058
ToN-IoT,46,NC-FSCIL,0.4728
ToN-IoT,47,NC-FSCIL,0.0
ToN-IoT,48,NC-FSCIL,0.0576
ToN-IoT,49,NC-FSCIL,0.1844
ToN-IoT,50,NC-FSCIL,0.0014
ToN-IoT,51,NC-FSCIL,0.3095
N-BaIoT,42,NC-FSCIL,0.3239
N-BaIoT,43,NC-FSCIL,0.3039
N-BaIoT,44,NC-FSCIL,0.762
N-BaIoT,45,NC-FSCIL,0.1415
N-BaIoT,46,NC-FSCIL,0.0751
N-BaIoT,47,NC-FSCIL,0.3157
N-BaIoT,48,NC-FSCIL,0.7107
N-BaIoT,49,NC-FSCIL,0.5996
N-BaIoT,50,NC-FSCIL,0.5074
N-BaIoT,51,NC-FSCIL,0.7301
CICIDS2018,42,NC-FSCIL,0.1289
CICIDS2018,43,NC-FSCIL,0.2453
CICIDS2018,44,NC-FSCIL,0.7264
CICIDS2018,45,NC-FSCIL,0.7127
CICIDS2018,46,NC-FSCIL,0.2795
CICIDS2018,47,NC-FSCIL,0.7493
CICIDS2018,48,NC-FSCIL,0.6843
CICIDS2018,49,NC-FSCIL,0.7516
CICIDS2018,50,NC-FSCIL,0.733
CICIDS2018,51,NC-FSCIL,0.4791
Edge-IIoTset,42,NC-FSCIL,0.2854
Edge-IIoTset,43,NC-FSCIL,0.1748
Edge-IIoTset,44,NC-FSCIL,0.165
Edge-IIoTset,45,NC-FSCIL,0.0896
Edge-IIoTset,46,NC-FSCIL,0.2867
Edge-IIoTset,47,NC-FSCIL,0.0
Edge-IIoTset,48,NC-FSCIL,0.0572
Edge-IIoTset,49,NC-FSCIL,0.1471
Edge-IIoTset,50,NC-FSCIL,0.1288
Edge-IIoTset,51,NC-FSCIL,0.026
CICIoT2023 (7-category),42,NC-FSCIL,0.0849
CICIoT2023 (7-category),43,NC-FSCIL,0.3193
CICIoT2023 (7-category),44,NC-FSCIL,0.0783
CICIoT2023 (7-category),45,NC-FSCIL,0.5173
CICIoT2023 (7-category),46,NC-FSCIL,0.2873
CICIoT2023 (7-category),47,NC-FSCIL,0.5316
CICIoT2023 (7-category),48,NC-FSCIL,0.0633
CICIoT2023 (7-category),49,NC-FSCIL,0.5316
CICIoT2023 (7-category),50,NC-FSCIL,0.5173
CICIoT2023 (7-category),51,NC-FSCIL,0.1755
NSL-KDD,42,NC-FSCIL,0.0
NSL-KDD,43,NC-FSCIL,0.0593
NSL-KDD,44,NC-FSCIL,0.0
NSL-KDD,45,NC-FSCIL,0.261
NSL-KDD,46,NC-FSCIL,0.0
NSL-KDD,47,NC-FSCIL,0.0678
NSL-KDD,48,NC-FSCIL,0.0
NSL-KDD,49,NC-FSCIL,0.0358
NSL-KDD,50,NC-FSCIL,0.0
NSL-KDD,51,NC-FSCIL,0.0
5G-NIDD,42,DOC,0.0624
5G-NIDD,43,DOC,0.0248
5G-NIDD,44,DOC,0.3215
5G-NIDD,45,DOC,0.3569
5G-NIDD,46,DOC,0.0779
5G-NIDD,47,DOC,0.1041
5G-NIDD,48,DOC,0.3627
5G-NIDD,49,DOC,0.1499
5G-NIDD,50,DOC,0.2996
5G-NIDD,51,DOC,0.3945
ToN-IoT,42,DOC,0.1584
ToN-IoT,43,DOC,0.1432
ToN-IoT,44,DOC,0.2343
ToN-IoT,45,DOC,0.3234
